"""year""","""state""","""state_po""","""state_fips""","""state_cen""","""state_ic""","""office""","""candidate""","""party_detailed""","""writein""","""candidatevotes""","""totalvotes""","""version""","""notes""","""party_simplified"""
2020,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""BIDEN, JOSEPH R. JR""","""DEMOCRAT""",FALSE,266376,443067,-1,NA,"""DEMOCRAT"""
2020,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,164045,443067,-1,NA,"""REPUBLICAN"""
2020,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,12646,443067,-1,NA,"""OTHER"""
2020,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""BIDEN, JOSEPH R. JR""","""DEMOCRAT""",FALSE,168696,376307,-1,NA,"""DEMOCRAT"""
2020,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,196692,376307,-1,NA,"""REPUBLICAN"""
2020,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,10919,376307,-1,NA,"""OTHER"""
2016,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""CLINTON, HILLARY""","""DEMOCRAT""",FALSE,212774,401592,-1,NA,"""DEMOCRAT"""
2016,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,154384,401592,-1,NA,"""REPUBLICAN"""
2016,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,34434,401592,-1,NA,"""OTHER"""
2016,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""CLINTON, HILLARY""","""DEMOCRAT""",FALSE,144817,353399,-1,NA,"""DEMOCRAT"""
2016,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,181177,353399,-1,NA,"""REPUBLICAN"""
2016,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,27405,353399,-1,NA,"""OTHER"""
2012,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,223035,374419,-1,NA,"""DEMOCRAT"""
2012,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""ROMNEY, MITT""","""REPUBLICAN""",FALSE,142937,374419,-1,NA,"""REPUBLICAN"""
2012,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,8447,374419,-1,NA,"""OTHER"""
2012,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,177998,336226,-1,NA,"""DEMOCRAT"""
2012,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""ROMNEY, MITT""","""REPUBLICAN""",FALSE,149215,336226,-1,NA,"""REPUBLICAN"""
2012,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,9013,336226,-1,NA,"""OTHER"""
2008,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,232145,383526,-1,NA,"""DEMOCRAT"""
2008,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""MCCAIN, JOHN""","""REPUBLICAN""",FALSE,144604,383526,-1,NA,"""REPUBLICAN"""
2008,"""Maine-1st""","""ME-1""",23,11,2,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,6777,383526,-1,NA,"""OTHER"""
2008,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,189778,347537,-1,NA,"""DEMOCRAT"""
2008,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""MCCAIN, JOHN""","""REPUBLICAN""",FALSE,150669,347537,-1,NA,"""REPUBLICAN"""
2008,"""Maine-2nd""","""ME-2""",23,11,2,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,7090,347537,-1,NA,"""OTHER"""
2020,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""BIDEN, JOSEPH R. JR""","""DEMOCRAT""",FALSE,"132,261","321,886",-1,NA,"""DEMOCRAT"""
2020,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,"180,290","321,886",-1,NA,"""REPUBLICAN"""
2020,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,9335,"321,886",-1,NA,"""OTHER"""
2020,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""BIDEN, JOSEPH R. JR""","""DEMOCRAT""",FALSE,"176,468","339,666",-1,NA,"""DEMOCRAT"""
2020,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,"154,377","339,666",-1,NA,"""REPUBLICAN"""
2020,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,8821,"339,666",-1,NA,"""OTHER"""
2020,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""BIDEN, JOSEPH R. JR""","""DEMOCRAT""",FALSE,"65,854","294,831",-1,NA,"""DEMOCRAT"""
2020,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,"222,179","294,831",-1,NA,"""REPUBLICAN"""
2020,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,6798,"294,831",-1,NA,"""OTHER"""
2016,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""CLINTON, HILLARY""","""DEMOCRAT""",FALSE,"100,132","282,362",-1,NA,"""DEMOCRAT"""
2016,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,"158,642","282,362",-1,NA,"""REPUBLICAN"""
2016,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,23588,"282,362",-1,NA,"""OTHER"""
2016,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""CLINTON, HILLARY""","""DEMOCRAT""",FALSE,"131,030","291,680",-1,NA,"""DEMOCRAT"""
2016,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,"137,564","291,680",-1,NA,"""REPUBLICAN"""
2016,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,23086,"291,680",-1,NA,"""OTHER"""
2016,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""CLINTON, HILLARY""","""DEMOCRAT""",FALSE,"53,332","270,260",-1,NA,"""DEMOCRAT"""
2016,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""TRUMP, DONALD J.""","""REPUBLICAN""",FALSE,"199,755","270,260",-1,NA,"""REPUBLICAN"""
2016,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,17173,"270,260",-1,NA,"""OTHER"""
2012,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,108082,"264,712",-1,NA,"""DEMOCRAT"""
2012,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""ROMNEY, MITT""","""REPUBLICAN""",FALSE,152021,"264,712",-1,NA,"""REPUBLICAN"""
2012,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,4609,"264,712",-1,NA,"""OTHER"""
2012,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,121889,"282,402",-1,NA,"""DEMOCRAT"""
2012,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""ROMNEY, MITT""","""REPUBLICAN""",FALSE,140976,"282,402",-1,NA,"""REPUBLICAN"""
2012,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,3862,"282,402",-1,NA,"""OTHER"""
2012,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,72110,"259,223",-1,NA,"""DEMOCRAT"""
2012,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""ROMNEY, MITT""","""REPUBLICAN""",FALSE,182067,"259,223",-1,NA,"""REPUBLICAN"""
2012,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,5046,"259,223",-1,NA,"""OTHER"""
2008,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,121411,"273,893",-1,NA,"""DEMOCRAT"""
2008,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""MCCAIN, JOHN""","""REPUBLICAN""",FALSE,148179,"273,893",-1,NA,"""REPUBLICAN"""
2008,"""Nebraska-1st""","""NE-1""",31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,4303,"273,893",-1,NA,"""OTHER"""
2008,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,138809,"277,809",-1,NA,"""DEMOCRAT"""
2008,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""MCCAIN, JOHN""","""REPUBLICAN""",FALSE,135439,"277,809",-1,NA,"""REPUBLICAN"""
2008,"""Nebraska-2nd""","""NE-2""",31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,3561,"277,809",-1,NA,"""OTHER"""
2008,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""OBAMA, BARACK H.""","""DEMOCRAT""",FALSE,73099,"246,841",-1,NA,"""DEMOCRAT"""
2008,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""MCCAIN, JOHN""","""REPUBLICAN""",FALSE,169361,"246,841",-1,NA,"""REPUBLICAN"""
2008,"""Nebraska-1st""",NE-3,31,46,35,"""US PRESIDENT""","""OTHER""","""OTHER""",FALSE,4381,"246,841",-1,NA,"""OTHER"""
