state,Probability Harris Win,Median Harris Margin,Harris Voteshare,Harris Lower CI,Harris CI Width,Harris Advantage,Trump Voteshare,Trump Lower CI,Trump CI Width,Trump Advantage,Other Voteshare,Other Lower CI,Other CI Width,Total Number of Votes,EV,tipping_point_chance
AK,0.037,-0.08895477320733836,0.423578188213819,0.3557294638498289,0.13416526479197083,0.9675675675675676,0.5125329614211573,0.441040588931166,0.1429988251766377,0.35555555555555557,0.06131959410528231,0.03497913521903922,0.05214728377897656,359530.0,3.0,0.0012
AL,0.0,-0.3067643746756903,0.31965055280999,0.22010922107981046,0.1952136217736466,1.0,0.6264149274856803,0.5097823188174141,0.23028878155794075,0.3436,0.033994177672027295,0.01572874041167932,0.03704293260119728,2323282.0,9.0,0.0
AR,0.0001,-0.29073803263107323,0.3303827202109403,0.20572040074405307,0.24761318452260717,1.0,0.6211207528420135,0.5140968820985872,0.21602651982208787,0.3436343634363436,0.05188024308468725,0.031200896641814614,0.041792348631320385,1219069.0,6.0,0.0
AZ,0.363,-0.01041594604114926,0.4735046778769889,0.4301413011634982,0.08611921303863462,0.9173553719008265,0.48392062391813817,0.440638386830533,0.08603002865874143,0.4971742543171115,0.0316785091265039,0.01822373438123919,0.026723213864518147,3387326.0,11.0,0.0641
CA,1.0,0.2963123406015126,0.6172688465434382,0.5591923660606444,0.11500193093389655,0.6508,0.32095650594192554,0.2781036032538543,0.0863555292765516,1.0,0.0438851640297962,0.02895506340755048,0.029631116836715942,17500881.0,54.0,0.0
CO,0.9847,0.12385502713235352,0.5235915419113943,0.4466935369949049,0.15343853593864187,0.6603026302427135,0.3997365147790408,0.32104705632629005,0.15735936900456798,0.9607843137254902,0.054138415556015715,0.03371467728363193,0.04068113810629246,3279980.0,10.0,0.0027
CT,0.9994,0.18760898037677964,0.5626509008910656,0.4850437426839488,0.15524983349849908,0.6511907144286572,0.375041920514286,0.2894214510006619,0.16863045925454734,1.0,0.025758862353034796,0.011382676391996551,0.028817207531169734,1823857.0,7.0,0.0002
DC,1.0,0.8827859500699704,0.9053374403452834,0.8007248987196346,0.1992751012803654,0.6508,0.022551490275313023,0.0,0.15540315978494543,1.0,0.050117898789653705,0.01646313806123818,0.066256616198085,344356.0,3.0,0.0
DE,1.0,0.1895105838210247,0.5610124125643347,0.49392916512107604,0.13654320596785624,0.6508,0.37150182874330995,0.31037729865152275,0.12293643726954656,1.0,0.02926173684341355,0.01579032004355485,0.02699995465857779,504346.0,3.0,0.0
FL,0.1746,-0.033594219368162204,0.4563674209269093,0.4059340489957973,0.10149972779817296,0.9914089347079038,0.4899616402950715,0.44025045833632737,0.09973293147033802,0.41458686697358854,0.021120447317533958,0.009065680395904168,0.02410610885562693,11067456.0,30.0,0.0549
GA,0.4231,-0.006045171500318025,0.4752350471016741,0.4323980406909941,0.08574488134156277,0.9160954857007799,0.4812802186019921,0.4379584230145687,0.08619454795851572,0.5371814872594903,0.02846678723041675,0.015543963304993256,0.02573556879666878,4999960.0,16.0,0.1245
HI,1.0,0.3732994584556673,0.6454357809190963,0.5245566337441434,0.2381364229710936,0.6508,0.27213632246342895,0.15025006152304196,0.24226334300600186,1.0,0.06037643553468686,0.03761036733374016,0.04557091287238483,579784.0,4.0,0.0
IA,0.1876,-0.07350155936849867,0.4234138211684786,0.30982680197837453,0.22836900635097201,0.9285714285714286,0.49691538053697726,0.3868967123162246,0.21778827046489968,0.4068193008370261,0.04715435456683632,0.03112261169774797,0.03165798236792511,1700130.0,6.0,0.0078
ID,0.0,-0.33669514411004475,0.2882755366043378,0.21518942908905972,0.14030051231174615,1.0,0.6249706807143826,0.5115124408639613,0.22601681168513132,0.3436,0.0661163451853237,0.038439561887698884,0.0550154009690101,868014.0,4.0,0.0
IL,0.9987,0.18635618253689196,0.562180060629085,0.47047216052416035,0.18433217433447574,0.6516471412836687,0.37582387809219303,0.30541509756828905,0.14227166223502635,1.0,0.039829651593966536,0.024645375964094593,0.03055502856501524,6033743.0,19.0,0.0
IN,0.0001,-0.17271007361719243,0.3840681845185295,0.317928034749929,0.13208212789422424,1.0,0.5567782581357219,0.48547203054897614,0.14292818493058335,0.3436343634363436,0.036998464204446115,0.022953049039352694,0.028986786520121797,3033118.0,11.0,0.0
KS,0.0039,-0.19346270144192024,0.37104997094147174,0.27816382829529057,0.1873584212005669,1.0,0.564512672383392,0.4563116708936728,0.21850674545738386,0.34494528661780943,0.041378246001679955,0.022601192225037103,0.03739974042738903,1372303.0,6.0,0.0
KY,0.0,-0.33402365640621423,0.30216607087101743,0.23700447140715944,0.1300814780518211,1.0,0.6361897272772317,0.5831940142689895,0.1070893204399973,0.3436,0.039311691186457776,0.022447514425551204,0.03356414232842156,2136768.0,8.0,0.0
LA,0.0,-0.25204944271387675,0.34621872059111747,0.24906944939913747,0.1947145644082148,1.0,0.5982681633049942,0.5198573319782657,0.15516799659284175,0.3436,0.03406186442817323,0.0163029228094211,0.035044542829964775,2148062.0,8.0,0.0
MA,1.0,0.29640404068823895,0.6155006135031627,0.5454741650441217,0.1418874302161558,0.6508,0.3190965728149237,0.2591080466479833,0.12042480186043525,1.0,0.04931561839352805,0.028941890816638446,0.0405748639953039,3658005.0,11.0,0.0
MD,1.0,0.309946474199601,0.6279115470452256,0.5707589883687053,0.11391544970811518,0.6508,0.3179650728456246,0.2691990748659336,0.0979686876657817,1.0,0.04616346325681649,0.028713285383666878,0.03529369874962575,3037030.0,10.0,0.0
ME,0.9409,0.09747168577587761,0.5085150626468442,0.42278048224690234,0.1687018871070478,0.6804123711340206,0.4110433768709666,0.32420276431656225,0.1732005226972081,0.8155668358714044,0.05492931202133278,0.02991588879716632,0.04977188202318171,828305.0,2.0,0.0027
ME-1,0.9996,0.24579396996312192,0.5880533135871742,0.4594320684689678,0.2534785457080446,0.6509603841536614,0.34225934362405225,0.2715953170497412,0.14132490387994096,0.75,0.04677756109046836,0.027560028439866435,0.038848055759130626,443067.0,1.0,0.0
ME-2,0.0416,-0.13869320782268352,0.39446260078261036,0.269245389033527,0.2496776259028941,0.8389423076923077,0.5331558086052939,0.43587050504810204,0.1969862657722749,0.3517320534223706,0.04878679023482836,0.032409921744169005,0.032832635367540726,376307.0,1.0,0.0005
MI,0.6808,0.014868972922700285,0.4805365202500903,0.43682828205284696,0.08791849668945162,0.8190364277320799,0.46566754732739,0.42392857854921784,0.08376484151228702,0.6983082706766918,0.03278646069488512,0.02023147514099713,0.025439101221249247,5539302.0,15.0,0.1546
MN,0.9046,0.049300418724650075,0.49218326608544705,0.43591663324513885,0.110878521023277,0.707273933230157,0.44288284736079697,0.39431742191874614,0.09678021225257405,0.8836477987421384,0.03957002029209959,0.023695134576346907,0.03178593532216646,3277171.0,10.0,0.0347
MO,0.0022,-0.1516554618240588,0.4003782035754862,0.3309123462009596,0.1383193822278111,1.0,0.552033665399545,0.47338626152588464,0.15497083131622497,0.3443575866907196,0.03409598996353756,0.019142364000879306,0.030464989413836054,3025962.0,10.0,0.0
MS,0.0107,-0.18171465176924134,0.38378567129288116,0.2774711179415758,0.21267299807285894,0.9906542056074766,0.5655003230621225,0.4528305617166213,0.22786593317521986,0.34721520266855355,0.028683963108684193,0.009136791782609784,0.03914588303475905,1313759.0,6.0,0.0005
MT,0.0,-0.18554433823711197,0.3827073868694047,0.31726023109336915,0.1290679443196177,1.0,0.5682517251065167,0.4953572482194421,0.14488100267050202,0.3436,0.04009725857132681,0.02008568469787135,0.03995027773482841,603674.0,4.0,0.0
NC,0.4593,-0.003327685523509205,0.4792816321694832,0.43705064758621104,0.08411283265973146,0.917483126496843,0.4826093176929924,0.44045581626539937,0.08459604811214433,0.5690771222489366,0.029039669642170814,0.01594108388256348,0.02616465493380458,5524802.0,16.0,0.137
ND,0.0,-0.3593608023558695,0.28028635881272096,0.13642163441435515,0.2880648125373009,1.0,0.6396471611685904,0.5009326740456986,0.276461412476235,0.3436,0.057862250679844296,0.03954297256767612,0.03659003786933888,361819.0,3.0,0.0
NE,0.0001,-0.21646673309405362,0.35730334294902055,0.27720352953740296,0.16132806997750837,1.0,0.5737700760430742,0.4929753458333618,0.16161564809812634,0.3436343634363436,0.046320468638323,0.029682317607701268,0.033563381438884404,956383.0,2.0,0.0
NE-1,0.0258,-0.1438357128727975,0.39141655211303006,0.2717408475038567,0.23849505265202314,0.9728682170542635,0.5352522649858276,0.45872201419936204,0.15543356722313934,0.35198111270786286,0.05006465777453875,0.031336369501070466,0.03800368857361491,321886.0,1.0,0.0
