state,Probability Harris Win,Median Harris Margin,Harris Voteshare,Harris Lower CI,Harris CI Width,Harris Advantage,Trump Voteshare,Trump Lower CI,Trump CI Width,Trump Advantage,Other Voteshare,Other Lower CI,Other CI Width,Total Number of Votes,EV,tipping_point_chance
AK,0.0587,-0.09638169016754472,0.4171747757459341,0.3324167684000005,0.16817232711938274,0.9625212947189097,0.5135564659134788,0.42602337288171443,0.17644024791340385,0.4439604801869755,0.05675276135923211,0.033683852414068995,0.04719357404017455,359530.0,3.0,0.0021
AL,0.0,-0.31393789649925175,0.3157997092782626,0.22237957894614876,0.187855527639286,1.0,0.6297376057775144,0.518617569901793,0.22305649303805364,0.4198,0.02778008509892766,0.01149858798571026,0.03269091971294735,2323282.0,9.0,0.0
AR,0.0003,-0.32269697390835694,0.3128569933347911,0.17706297378581007,0.2663195663902107,1.0,0.635553967243148,0.5222637973464364,0.22332334963021205,0.419925977793338,0.047270608246088475,0.028409002246315224,0.03739579209352459,1219069.0,6.0,0.0
AZ,0.2599,-0.016776805526808436,0.46860279598159077,0.4323539668530629,0.07286544874440887,0.9126587148903424,0.4853796015083992,0.44991338760126554,0.07046102955839917,0.5389812187542224,0.026192631282733986,0.015112119882540633,0.022303009502315375,3387326.0,11.0,0.0613
CA,1.0,0.29414600332046864,0.6180188688928239,0.5677083695884597,0.100577123933144,0.5748,0.32387286557235523,0.2840227614831812,0.07925009042338366,1.0,0.03754426051997228,0.024995239174641908,0.02524226186700694,17500881.0,54.0,0.0
CO,0.9869,0.1181639956008339,0.5220456532819484,0.448157760337388,0.14597208157934322,0.5824298307832607,0.4038816576811145,0.3251860467626898,0.15633032233505056,1.0,0.04802526580534584,0.030276494656606336,0.03559372077460954,3279980.0,10.0,0.0021
CT,0.9989,0.18877336510635645,0.5678174575200277,0.48840945162944566,0.1573208715104793,0.5754329762739013,0.3790440924136712,0.2843702336310803,0.1893195239897965,1.0,0.018691542187304754,0.006701056065519468,0.024423482883685763,1823857.0,7.0,0.0001
DC,1.0,0.8780528628328086,0.9030325902639457,0.802443873351609,0.19755612664839095,0.5748,0.02497972743113707,0.0,0.15822561488059592,1.0,0.04388119723463098,0.014389635242576282,0.06013724809898021,344356.0,3.0,0.0
DE,1.0,0.18749196862219192,0.5644520064811344,0.49320093276737476,0.14236830589133076,0.5748,0.37696003785894244,0.3126832372890869,0.12910476155677986,1.0,0.023074404881031792,0.0115931032242015,0.02314058477800491,504346.0,3.0,0.0
FL,0.0116,-0.06595348163144876,0.44508324229695784,0.40406180787589774,0.08125281508802035,0.9827586206896551,0.5110367239284066,0.46991127165931995,0.08225418728337669,0.424524484014569,0.015511709170939435,0.005546824029345179,0.019802783578458633,11067456.0,30.0,0.0009
GA,0.3807,-0.007922824986848709,0.4702319080760424,0.43265701197181033,0.07436453404822913,0.8838980824796427,0.47815473306289114,0.4409867782836025,0.07405404643776053,0.6093977070886485,0.023967841792081463,0.013001937381646329,0.022111162529063526,4999960.0,16.0,0.1328
