end_date,sample_size_harris,pct_harris,sample_var_harris,bias_var_harris,time_since_var_harris,total_var_harris,sample_size_trump,pct_trump,sample_var_trump,bias_var_trump,time_since_var_trump,total_var_trump
2023-02-21,,,,,,,590.0,0.46,0.00042101694915254245,0.0009,0.4977,0.25
2023-02-21,,,,,,,680.0,0.45,0.00036397058823529416,0.0009,0.4977,0.25
2023-05-09,,,,,,,500.0,0.41,0.00048380000000000005,0.0009,0.4284,0.25
2023-05-23,,,,,,,678.0,0.38,0.00034749262536873154,0.0009,0.4158,0.25
2023-07-25,,,,,,,804.0,0.4,0.00029850746268656717,0.0009,0.3591,0.25
2023-08-15,,,,,,,702.0,0.42,0.000347008547008547,0.0009,0.3402,0.25
2023-09-11,,,,,,,1000.0,0.37,0.0002331,0.0009,0.3159,0.25
2023-09-19,,,,,,,1437.0,0.37,0.00016221294363256785,0.0009,0.3087,0.25
2023-09-19,,,,,,,1437.0,0.39,0.00016555323590814196,0.0009,0.3087,0.25
2023-09-19,,,,,,,1437.0,0.42,0.00016951983298538624,0.0009,0.3087,0.25
2023-11-20,,,,,,,686.0,0.44,0.0003591836734693878,0.0009,0.2529,0.25
2023-12-19,,,,,,,625.0,0.43,0.00039216,0.0009,0.2268,0.22809216
2023-12-19,,,,,,,625.0,0.36,0.00036864,0.0009,0.2268,0.22806864
2024-01-13,,,,,,,812.0,0.4,0.00029556650246305416,0.0009,0.20429999999999998,0.20549556650246303
2024-02-19,,,,,,,705.0,0.43,0.00034765957446808513,0.0009,0.17099999999999999,0.17224765957446808
2024-03-03,,,,,,,394.0,0.418,0.0006174517766497462,0.0009,0.1593,0.16081745177664974
2024-03-03,,,,,,,368.0,0.424,0.0006636521739130435,0.0009,0.1593,0.16086365217391305
2024-04-21,,,,,,,586.0,0.40700000000000003,0.0004118617747440273,0.0009,0.1152,0.11651186177474403
2024-04-28,,,,,,,500.0,0.42,0.0004872,0.0009,0.1089,0.1102872
2024-05-01,,,,,,,800.0,0.37,0.000291375,0.0009,0.1062,0.107391375
2024-05-01,,,,,,,800.0,0.41,0.000302375,0.0009,0.1062,0.10740237500000001
2024-05-01,,,,,,,800.0,0.44,0.00030800000000000006,0.0009,0.1062,0.107408
2024-05-21,,,,,,,711.0,0.42,0.00034261603375527425,0.0009,0.0882,0.08944261603375528
2024-05-21,,,,,,,711.0,0.38,0.0003313642756680731,0.0009,0.0882,0.08943136427566807
2024-06-03,,,,,,,1107.0,0.41,0.00021851851851851855,0.0009,0.0765,0.07761851851851852
2024-06-03,,,,,,,1107.0,0.48,0.00022547425474254743,0.0009,0.0765,0.07762547425474255
2024-07-03,,,,,,,809.0,0.39,0.00029406674907292955,0.0009,0.049499999999999995,0.050694066749072925
2024-07-03,,,,,,,755.0,0.386,0.00031391258278145695,0.0009,0.049499999999999995,0.050713912582781455
2024-07-11,1000.0,0.47,0.0002491,0.0009,0.0423,0.0434491,1000.0,0.44,0.0002464,0.0009,0.0423,0.043446399999999996
2024-07-11,1000.0,0.47,0.0002491,0.0009,0.0423,0.0434491,1000.0,0.47,0.0002491,0.0009,0.0423,0.0434491
2024-07-12,661.0,0.43,0.0003708018154311649,0.0009,0.0414,0.04267080181543116,661.0,0.38,0.00035642965204236006,0.0009,0.0414,0.04265642965204236
2024-07-12,661.0,0.43,0.0003708018154311649,0.0009,0.0414,0.04267080181543116,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.43,0.0003708018154311649,0.0009,0.0414,0.04267080181543116,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.43,0.0003708018154311649,0.0009,0.0414,0.04267080181543116,661.0,0.45,0.0003744326777609683,0.0009,0.0414,0.04267443267776097
2024-07-12,661.0,0.43,0.0003708018154311649,0.0009,0.0414,0.04267080181543116,661.0,0.36,0.0003485627836611195,0.0009,0.0414,0.042648562783661116
2024-07-12,661.0,0.43,0.0003708018154311649,0.0009,0.0414,0.04267080181543116,661.0,0.38,0.00035642965204236006,0.0009,0.0414,0.04265642965204236
2024-07-12,661.0,0.41,0.00036596066565809383,0.0009,0.0414,0.042665960665658094,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.48,0.0003776096822995461,0.0009,0.0414,0.04267760968229955,661.0,0.39,0.00035990922844175493,0.0009,0.0414,0.042659909228441754
2024-07-12,661.0,0.41,0.00036596066565809383,0.0009,0.0414,0.042665960665658094,661.0,0.39,0.00035990922844175493,0.0009,0.0414,0.042659909228441754
2024-07-12,661.0,0.41,0.00036596066565809383,0.0009,0.0414,0.042665960665658094,661.0,0.38,0.00035642965204236006,0.0009,0.0414,0.04265642965204236
2024-07-12,661.0,0.41,0.00036596066565809383,0.0009,0.0414,0.042665960665658094,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.41,0.00036596066565809383,0.0009,0.0414,0.042665960665658094,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.48,0.0003776096822995461,0.0009,0.0414,0.04267760968229955,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.41,0.00036596066565809383,0.0009,0.0414,0.042665960665658094,661.0,0.36,0.0003485627836611195,0.0009,0.0414,0.042648562783661116
2024-07-12,661.0,0.41,0.00036596066565809383,0.0009,0.0414,0.042665960665658094,661.0,0.38,0.00035642965204236006,0.0009,0.0414,0.04265642965204236
2024-07-12,661.0,0.49,0.0003780635400907716,0.0009,0.0414,0.04267806354009077,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.49,0.0003780635400907716,0.0009,0.0414,0.04267806354009077,661.0,0.39,0.00035990922844175493,0.0009,0.0414,0.042659909228441754
2024-07-12,661.0,0.49,0.0003780635400907716,0.0009,0.0414,0.04267806354009077,661.0,0.38,0.00035642965204236006,0.0009,0.0414,0.04265642965204236
2024-07-12,661.0,0.49,0.0003780635400907716,0.0009,0.0414,0.04267806354009077,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.49,0.0003780635400907716,0.0009,0.0414,0.04267806354009077,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.49,0.0003780635400907716,0.0009,0.0414,0.04267806354009077,661.0,0.45,0.0003744326777609683,0.0009,0.0414,0.04267443267776097
2024-07-12,661.0,0.49,0.0003780635400907716,0.0009,0.0414,0.04267806354009077,661.0,0.36,0.0003485627836611195,0.0009,0.0414,0.042648562783661116
2024-07-12,661.0,0.48,0.0003776096822995461,0.0009,0.0414,0.04267760968229955,661.0,0.38,0.00035642965204236006,0.0009,0.0414,0.04265642965204236
2024-07-12,661.0,0.49,0.0003780635400907716,0.0009,0.0414,0.04267806354009077,661.0,0.38,0.00035642965204236006,0.0009,0.0414,0.04265642965204236
2024-07-12,661.0,0.48,0.0003776096822995461,0.0009,0.0414,0.04267760968229955,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.43,0.0003708018154311649,0.0009,0.0414,0.04267080181543116,661.0,0.39,0.00035990922844175493,0.0009,0.0414,0.042659909228441754
2024-07-12,661.0,0.41,0.00036596066565809383,0.0009,0.0414,0.042665960665658094,661.0,0.45,0.0003744326777609683,0.0009,0.0414,0.04267443267776097
2024-07-12,661.0,0.43,0.0003708018154311649,0.0009,0.0414,0.04267080181543116,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.48,0.0003776096822995461,0.0009,0.0414,0.04267760968229955,661.0,0.44,0.0003727685325264751,0.0009,0.0414,0.042672768532526474
2024-07-12,661.0,0.48,0.0003776096822995461,0.0009,0.0414,0.04267760968229955,661.0,0.45,0.0003744326777609683,0.0009,0.0414,0.04267443267776097
2024-07-12,661.0,0.48,0.0003776096822995461,0.0009,0.0414,0.04267760968229955,661.0,0.36,0.0003485627836611195,0.0009,0.0414,0.042648562783661116
2024-07-12,661.0,0.48,0.0003776096822995461,0.0009,0.0414,0.04267760968229955,661.0,0.38,0.00035642965204236006,0.0009,0.0414,0.04265642965204236
2024-07-13,617.0,0.45,0.00040113452188006486,0.0009,0.0405,0.041801134521880064,544.0,0.38,0.00043308823529411767,0.0009,0.0405,0.04183308823529412
2024-07-13,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955,544.0,0.39,0.00043731617647058824,0.0009,0.0405,0.04183731617647059
2024-07-13,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955,544.0,0.42,0.0004477941176470588,0.0009,0.0405,0.04184779411764706
2024-07-13,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955,544.0,0.38,0.00043308823529411767,0.0009,0.0405,0.04183308823529412
2024-07-13,544.0,0.46,0.0004566176470588236,0.0009,0.0405,0.04185661764705882,617.0,0.38,0.0003818476499189627,0.0009,0.0405,0.04178184764991896
2024-07-13,544.0,0.43,0.0004505514705882353,0.0009,0.0405,0.041850551470588235,544.0,0.42,0.0004477941176470588,0.0009,0.0405,0.04184779411764706
2024-07-13,544.0,0.43,0.0004505514705882353,0.0009,0.0405,0.041850551470588235,617.0,0.37,0.0003777957860615883,0.0009,0.0405,0.04177779578606159
2024-07-13,544.0,0.43,0.0004505514705882353,0.0009,0.0405,0.041850551470588235,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955
2024-07-13,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955,617.0,0.37,0.0003777957860615883,0.0009,0.0405,0.04177779578606159
2024-07-13,544.0,0.43,0.0004505514705882353,0.0009,0.0405,0.041850551470588235,544.0,0.39,0.00043731617647058824,0.0009,0.0405,0.04183731617647059
2024-07-13,544.0,0.43,0.0004505514705882353,0.0009,0.0405,0.041850551470588235,544.0,0.42,0.0004477941176470588,0.0009,0.0405,0.04184779411764706
2024-07-13,544.0,0.43,0.0004505514705882353,0.0009,0.0405,0.041850551470588235,544.0,0.38,0.00043308823529411767,0.0009,0.0405,0.04183308823529412
2024-07-13,544.0,0.43,0.0004505514705882353,0.0009,0.0405,0.041850551470588235,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955
2024-07-13,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955
2024-07-13,544.0,0.43,0.0004505514705882353,0.0009,0.0405,0.041850551470588235,617.0,0.38,0.0003818476499189627,0.0009,0.0405,0.04178184764991896
2024-07-13,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955,544.0,0.42,0.0004477941176470588,0.0009,0.0405,0.04184779411764706
2024-07-13,617.0,0.45,0.00040113452188006486,0.0009,0.0405,0.041801134521880064,544.0,0.42,0.0004477941176470588,0.0009,0.0405,0.04184779411764706
2024-07-13,617.0,0.45,0.00040113452188006486,0.0009,0.0405,0.041801134521880064,544.0,0.39,0.00043731617647058824,0.0009,0.0405,0.04183731617647059
2024-07-13,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955
2024-07-13,617.0,0.45,0.00040113452188006486,0.0009,0.0405,0.041801134521880064,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955
2024-07-13,617.0,0.45,0.00040113452188006486,0.0009,0.0405,0.041801134521880064,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955
2024-07-13,617.0,0.45,0.00040113452188006486,0.0009,0.0405,0.041801134521880064,544.0,0.42,0.0004477941176470588,0.0009,0.0405,0.04184779411764706
2024-07-13,617.0,0.45,0.00040113452188006486,0.0009,0.0405,0.041801134521880064,617.0,0.38,0.0003818476499189627,0.0009,0.0405,0.04178184764991896
2024-07-13,544.0,0.46,0.0004566176470588236,0.0009,0.0405,0.04185661764705882,544.0,0.42,0.0004477941176470588,0.0009,0.0405,0.04184779411764706
2024-07-13,617.0,0.45,0.00040113452188006486,0.0009,0.0405,0.041801134521880064,617.0,0.37,0.0003777957860615883,0.0009,0.0405,0.04177779578606159
2024-07-13,544.0,0.46,0.0004566176470588236,0.0009,0.0405,0.04185661764705882,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955
2024-07-13,544.0,0.46,0.0004566176470588236,0.0009,0.0405,0.04185661764705882,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955
2024-07-13,544.0,0.46,0.0004566176470588236,0.0009,0.0405,0.04185661764705882,617.0,0.37,0.0003777957860615883,0.0009,0.0405,0.04177779578606159
2024-07-13,544.0,0.46,0.0004566176470588236,0.0009,0.0405,0.04185661764705882,544.0,0.39,0.00043731617647058824,0.0009,0.0405,0.04183731617647059
2024-07-13,544.0,0.46,0.0004566176470588236,0.0009,0.0405,0.04185661764705882,544.0,0.42,0.0004477941176470588,0.0009,0.0405,0.04184779411764706
2024-07-13,544.0,0.46,0.0004566176470588236,0.0009,0.0405,0.04185661764705882,544.0,0.38,0.00043308823529411767,0.0009,0.0405,0.04183308823529412
2024-07-13,617.0,0.41,0.00039205834683954627,0.0009,0.0405,0.04179205834683955,617.0,0.38,0.0003818476499189627,0.0009,0.0405,0.04178184764991896
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,301.0,0.44,0.0008186046511627908,0.0009,0.0387,0.04041860465116279
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,1000.0,0.504,0.000249984,0.0009,0.0387,0.039849984
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,1000.0,0.429,0.000244959,0.0009,0.0387,0.039844959
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,1000.0,0.467,0.000248911,0.0009,0.0387,0.039848911
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,265.0,0.44,0.0009298113207547171,0.0009,0.0387,0.04052981132075471
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,265.0,0.42,0.000919245283018868,0.0009,0.0387,0.04051924528301887
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,265.0,0.47,0.00094,0.0009,0.0387,0.04054
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026
2024-07-15,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026,265.0,0.45,0.0009339622641509435,0.0009,0.0387,0.040533962264150944
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,301.0,0.41,0.000803654485049834,0.0009,0.0387,0.04040365448504983
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,265.0,0.45,0.0009339622641509435,0.0009,0.0387,0.040533962264150944
2024-07-15,265.0,0.41,0.0009128301886792454,0.0009,0.0387,0.040512830188679246,301.0,0.44,0.0008186046511627908,0.0009,0.0387,0.04041860465116279
2024-07-15,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026,301.0,0.41,0.000803654485049834,0.0009,0.0387,0.04040365448504983
2024-07-15,265.0,0.43,0.0009249056603773585,0.0009,0.0387,0.04052490566037736,1000.0,0.467,0.000248911,0.0009,0.0387,0.039848911
2024-07-15,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,265.0,0.42,0.000919245283018868,0.0009,0.0387,0.04051924528301887
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,265.0,0.47,0.00094,0.0009,0.0387,0.04054
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,301.0,0.44,0.0008186046511627908,0.0009,0.0387,0.04041860465116279
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,265.0,0.44,0.0009298113207547171,0.0009,0.0387,0.04052981132075471
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,1000.0,0.467,0.000248911,0.0009,0.0387,0.039848911
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,1000.0,0.429,0.000244959,0.0009,0.0387,0.039844959
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,1000.0,0.504,0.000249984,0.0009,0.0387,0.039849984
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,301.0,0.44,0.0008186046511627908,0.0009,0.0387,0.04041860465116279
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,301.0,0.41,0.000803654485049834,0.0009,0.0387,0.04040365448504983
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,265.0,0.42,0.000919245283018868,0.0009,0.0387,0.04051924528301887
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,265.0,0.47,0.00094,0.0009,0.0387,0.04054
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,301.0,0.44,0.0008186046511627908,0.0009,0.0387,0.04041860465116279
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,265.0,0.44,0.0009298113207547171,0.0009,0.0387,0.04052981132075471
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,1000.0,0.467,0.000248911,0.0009,0.0387,0.039848911
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,1000.0,0.429,0.000244959,0.0009,0.0387,0.039844959
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,1000.0,0.504,0.000249984,0.0009,0.0387,0.039849984
2024-07-15,1000.0,0.445,0.00024697499999999997,0.0009,0.0387,0.039846975,301.0,0.44,0.0008186046511627908,0.0009,0.0387,0.04041860465116279
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,301.0,0.41,0.000803654485049834,0.0009,0.0387,0.04040365448504983
2024-07-15,301.0,0.43,0.0008142857142857143,0.0009,0.0387,0.040414285714285715,265.0,0.45,0.0009339622641509435,0.0009,0.0387,0.040533962264150944
2024-07-15,265.0,0.43,0.0009249056603773585,0.0009,0.0387,0.04052490566037736,301.0,0.44,0.0008186046511627908,0.0009,0.0387,0.04041860465116279
2024-07-15,265.0,0.43,0.0009249056603773585,0.0009,0.0387,0.04052490566037736,1000.0,0.504,0.000249984,0.0009,0.0387,0.039849984
2024-07-15,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026,265.0,0.47,0.00094,0.0009,0.0387,0.04054
2024-07-15,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026,301.0,0.44,0.0008186046511627908,0.0009,0.0387,0.04041860465116279
2024-07-15,301.0,0.4,0.0007973421926910298,0.0009,0.0387,0.040397342192691026,265.0,0.44,0.0009298113207547171,0.0009,0.0387,0.04052981132075471
